id,name,image_url,price,saleprice,url,category,type
2102032-3,"Unique Gifts for Mother, Giftsmate Colorful Best Mom Ever Coffee Mug Gift set for Mother with Coaster, Gifts for Mother, Birthday Gifts for Mom",http://ecx.images-amazon.com/images/I/41ryEMnMCGL._SX425_.jpg,725,399,http://www.amazon.in/dp/B00CKP7K9M/ref=asc_df_B00CKP7K9M38843456/?tag=indiashopps-21&creative=165953&creativeASIN=B00CKP7K9M&linkCode=df0,Tableware,gift
8511715-3,TiedRibbons® Gifts For Mom Coffee Mug(325ml) with Coaster,https://images-eu.ssl-images-amazon.com/images/I/51C36%2BXALKL._SL160_.jpg,999,499,http://www.amazon.in/dp/B01DUBSODK/ref=asc_df_B01DUBSODK41294577/?tag=indiashopps-21&creative=165953&creativeASIN=B01DUBSODK&linkCode=df0,Tableware,gift
4623202-3,Casio Enticer Analog White Dial Women's Watch - LTP-2087GL-4AVDF (A910),http://ecx.images-amazon.com/images/I/515Xu9k4McL._SX425_.jpg,4795,4795,http://www.amazon.in/dp/B00M1L8VW0/ref=asc_df_B00M1L8VW038842807/?tag=indiashopps-21&creative=165953&creativeASIN=B00M1L8VW0&linkCode=df0,Watches,watch
3444357-3,Invicta Analog Blue Dial Women's Watch - 14361,https://images-eu.ssl-images-amazon.com/images/I/41HjqzYygvL._SL160_.jpg,5130,5130,http://www.amazon.in/dp/B00ATUL4K6/ref=asc_df_B00ATUL4K638842807/?tag=indiashopps-21&creative=165953&creativeASIN=B00ATUL4K6&linkCode=df0,Watches,watch
3437146-3,Sonata Sona Sitara Analog White Dial Women's Watch - NF8073YM01,https://images-eu.ssl-images-amazon.com/images/I/41xpYk77tzL._SL160_.jpg,1539,1539,http://www.amazon.in/dp/B00EY7UL4U/ref=asc_df_B00EY7UL4U38842807/?tag=indiashopps-21&creative=165953&creativeASIN=B00EY7UL4U&linkCode=df0,Watches,watch
34122513-1,Titan 9710SM01 Raga Analog Watch - For Women,http://img6a.flixcart.com/image/watch/z/e/8/9710sm01-titan-400x400-imadmh7ykevu9sdj.jpeg,4637,4637,https://www.flipkart.com/titan-nh9710sm01e-raga-analog-watch-women/p/itmdg2gaya4ggjdt?pid=WATDG2GADHFS3ZE8&affid=affiliate7&affExtParam1=site,Watches,watch
3440231-3,Titan Analog Silver Dial Women Watch - 9971SM01J,https://images-eu.ssl-images-amazon.com/images/I/41pRqbT0OhL._SL160_.jpg,8395,8395,http://www.amazon.in/dp/B00HWTB632/ref=asc_df_B00HWTB63238842807/?tag=indiashopps-21&creative=165953&creativeASIN=B00HWTB632&linkCode=df0,Watches,watch
3444801-3,Titan Analog Beige Dial Women's Watch - 2522YM01,https://images-eu.ssl-images-amazon.com/images/I/41QGBudSelL._SL160_.jpg,1895,1763,http://www.amazon.in/dp/B00ISNQTWO/ref=asc_df_B00ISNQTWO38842807/?tag=indiashopps-21&creative=165953&creativeASIN=B00ISNQTWO&linkCode=df0,Watches,watch
12905101-3,Titan Analog Brown Dial Women's Watch - 2418YM06,https://images-eu.ssl-images-amazon.com/images/I/41MYOPi3uKL._SL160_.jpg,2695,2510,http://www.amazon.in/dp/B01EHDUGBI/ref=asc_df_B01EHDUGBI38842807/?tag=indiashopps-21&creative=165953&creativeASIN=B01EHDUGBI&linkCode=df0,Watches,watch
14478887-3,Titan Analog Purple Dial Women's Watch - 2417YM05,https://images-eu.ssl-images-amazon.com/images/I/41zHuzrTK-L._SL160_.jpg,2495,2105,http://www.amazon.in/dp/B01EHDUGQI/ref=asc_df_B01EHDUGQI38842807/?tag=indiashopps-21&creative=165953&creativeASIN=B01EHDUGQI&linkCode=df0,Watches,watch
